user_id,booking_id,created_at,status,checkin_status,booking_start_time,booking_end_time,is_demo
837,40,2023-03-07 09:06:42.754398 UTC,completed,checkedIn,2023-03-07 08:45:00.000000 UTC,2023-03-07 18:00:00.000000 UTC,FALSE
20,41,2023-03-09 08:04:36.641355 UTC,completed,checkedIn,2023-03-09 08:15:00.000000 UTC,2023-03-09 17:30:00.000000 UTC,FALSE
65,42,2023-03-14 07:21:19.482495 UTC,completed,checkedIn,2023-03-14 05:00:00.000000 UTC,2023-03-14 17:30:00.000000 UTC,FALSE
857,43,2023-03-15 12:14:13.560196 UTC,editedByUser,readyForCheckIn,2023-03-15 12:00:00.000000 UTC,2023-03-15 18:00:00.000000 UTC,FALSE
246,44,2023-03-16 09:52:33.396161 UTC,editedByUser,checkInNotAvailable,2023-03-20 11:00:00.000000 UTC,2023-03-20 18:00:00.000000 UTC,FALSE
52,45,2023-03-21 06:29:18.633546 UTC,completed,checkInNotAvailable,2023-03-21 06:30:00.000000 UTC,2023-03-21 17:00:00.000000 UTC,FALSE
74,46,2023-03-29 08:01:00.086344 UTC,completed,checkedIn,2023-03-29 08:15:00.000000 UTC,2023-03-29 17:00:00.000000 UTC,FALSE
864,47,2023-03-30 08:30:15.043301 UTC,cancelled,notCheckedIn,2023-03-30 10:00:00.000000 UTC,2023-03-30 17:00:00.000000 UTC,FALSE
869,48,2023-04-01 16:18:28.609535 UTC,completed,checkInNotAvailable,2023-04-25 06:00:00.000000 UTC,2023-04-25 18:00:00.000000 UTC,FALSE
174,49,2023-04-03 09:39:17.286199 UTC,completed,checkedIn,2023-04-03 09:45:00.000000 UTC,2023-04-03 17:00:00.000000 UTC,FALSE
175,50,2023-04-03 11:49:23.564169 UTC,editedByUser,readyForNonQRCheckIn,2023-04-06 08:00:00.000000 UTC,2023-04-06 17:00:00.000000 UTC,FALSE
200,51,2023-04-17 16:48:03.552064 UTC,completed,checkedIn,2023-04-18 04:00:00.000000 UTC,2023-04-18 16:30:00.000000 UTC,FALSE
107,52,2023-04-27 06:55:22.598783 UTC,completed,checkedIn,2023-04-27 11:00:00.000000 UTC,2023-04-27 16:30:00.000000 UTC,FALSE
6,53,2023-04-27 08:05:58.970712 UTC,cancelled,notCheckedIn,2023-05-04 05:00:00.000000 UTC,2023-05-04 16:00:00.000000 UTC,FALSE
73,54,2023-04-27 08:27:26.284248 UTC,cancelled,notCheckedIn,2023-04-27 10:30:00.000000 UTC,2023-04-27 17:00:00.000000 UTC,FALSE
206,55,2023-05-02 15:09:39.429130 UTC,cancelled,notCheckedIn,2023-05-04 04:00:00.000000 UTC,2023-05-04 16:30:00.000000 UTC,FALSE
207,56,2023-05-04 08:26:35.703942 UTC,accepted,readyForCheckIn,2023-05-15 04:00:00.000000 UTC,2023-05-15 16:30:00.000000 UTC,FALSE
207,57,2023-05-08 07:07:50.139845 UTC,completed,checkedIn,2023-05-08 07:15:00.000000 UTC,2023-05-08 16:30:00.000000 UTC,FALSE
320,58,2023-05-09 07:56:49.595751 UTC,running,checkInNotAvailable,2023-05-09 08:00:00.000000 UTC,2023-05-09 17:00:00.000000 UTC,FALSE
296,59,2022-11-01 14:26:51.580997 UTC,completed,checkInNotAvailable,2022-11-08 06:00:00.000000 UTC,2022-11-08 18:00:00.000000 UTC,FALSE
188,60,2022-11-01 15:00:51.469567 UTC,completed,checkInNotAvailable,2022-11-02 06:00:00.000000 UTC,2022-11-02 17:00:00.000000 UTC,FALSE
255,61,2022-11-07 05:04:44.619251 UTC,completed,checkInNotAvailable,2022-11-07 06:00:00.000000 UTC,2022-11-07 17:00:00.000000 UTC,FALSE
25,62,2022-11-10 08:52:36.581639 UTC,completed,checkedIn,2022-11-10 09:00:00.000000 UTC,2022-11-10 15:00:00.000000 UTC,FALSE
96,63,2022-11-23 06:25:43.607585 UTC,completed,checkInNotAvailable,2022-11-25 06:00:00.000000 UTC,2022-11-25 17:00:00.000000 UTC,FALSE
65,64,2022-11-29 07:24:01.811875 UTC,completed,checkedIn,2022-11-29 07:30:00.000000 UTC,2022-11-29 17:30:00.000000 UTC,FALSE
257,65,2022-11-29 12:50:47.691404 UTC,completed,checkedIn,2022-12-07 07:00:00.000000 UTC,2022-12-07 18:00:00.000000 UTC,FALSE
28,66,2022-12-01 07:53:01.709674 UTC,completed,checkedIn,2022-12-02 05:00:00.000000 UTC,2022-12-02 17:30:00.000000 UTC,FALSE
329,67,2022-12-07 15:13:29.035493 UTC,completed,checkInNotAvailable,2022-12-09 06:00:00.000000 UTC,2022-12-09 18:00:00.000000 UTC,FALSE
181,68,2022-12-13 09:52:47.012865 UTC,completed,notCheckedIn,2022-12-19 05:00:00.000000 UTC,2022-12-19 17:30:00.000000 UTC,FALSE
208,69,2022-12-13 13:14:44.214519 UTC,completed,checkedIn,2022-12-14 05:00:00.000000 UTC,2022-12-14 17:30:00.000000 UTC,FALSE
43,70,2022-12-15 09:16:11.887732 UTC,completed,notCheckedIn,2022-12-19 05:00:00.000000 UTC,2022-12-19 17:30:00.000000 UTC,FALSE
183,71,2023-01-10 07:16:53.609027 UTC,completed,checkedIn,2023-01-10 07:30:00.000000 UTC,2023-01-10 17:30:00.000000 UTC,FALSE
132,72,2023-01-10 17:48:44.751632 UTC,completed,checkedIn,2023-01-11 07:00:00.000000 UTC,2023-01-11 18:00:00.000000 UTC,FALSE
322,73,2023-01-10 22:19:21.070290 UTC,completed,checkInNotAvailable,2023-01-18 07:00:00.000000 UTC,2023-01-18 17:00:00.000000 UTC,FALSE
100,74,2023-01-11 12:53:59.765927 UTC,completed,checkInNotAvailable,2023-01-17 06:00:00.000000 UTC,2023-01-17 17:00:00.000000 UTC,FALSE
302,75,2023-01-16 08:14:38.683998 UTC,cancelled,notCheckedIn,2023-01-16 07:00:00.000000 UTC,2023-01-16 18:00:00.000000 UTC,FALSE
257,76,2023-01-31 14:02:19.207302 UTC,completed,notCheckedIn,2023-02-01 07:00:00.000000 UTC,2023-02-01 18:00:00.000000 UTC,FALSE
90,77,2023-01-31 15:09:24.225666 UTC,completed,checkInNotAvailable,2023-02-01 06:00:00.000000 UTC,2023-02-01 17:00:00.000000 UTC,FALSE
96,78,2023-02-09 13:48:37.597036 UTC,completed,checkInNotAvailable,2023-02-23 06:00:00.000000 UTC,2023-02-23 17:00:00.000000 UTC,FALSE
818,79,2023-02-13 15:05:55.989320 UTC,completed,checkInNotAvailable,2023-02-14 06:00:00.000000 UTC,2023-02-14 17:00:00.000000 UTC,FALSE
211,80,2023-02-14 08:32:46.202365 UTC,completed,checkedIn,2023-02-14 08:45:00.000000 UTC,2023-02-14 17:30:00.000000 UTC,FALSE
188,81,2023-02-15 12:47:53.425981 UTC,completed,checkInNotAvailable,2023-02-15 13:00:00.000000 UTC,2023-02-15 17:00:00.000000 UTC,FALSE
